Time,Y,
0,0,-3.42267101
0.00001,4.192258597,2.172708738
0.00002,7.242181453,3.938457374
0.00003,8.436528108,10.87061661
0.00004,7.756463002,3.671543364
0.00005,5.877852523,7.477375328
0.00006,3.906544798,5.796742122
0.00007,2.949849846,2.603030528
0.00008,3.687996674,3.170215818
0.00009,6.109344263,-2.910069062
0.0001,9.510565163,12.358757
0.00011,12.76179877,12.3767826
0.00012,14.73554987,16.77403937
0.00013,14.73554987,9.664546056
0.00014,12.76179877,13.09392507
0.00015,9.510565163,1.86631618
0.00016,6.109344263,3.490246929
0.00017,3.687996674,9.656930969
0.00018,2.949849846,3.270197448
0.00019,3.906544798,6.926265825
0.0002,5.877852523,5.611365891
0.00021,7.756463002,14.59720336
0.00022,8.436528108,2.341569502
0.00023,7.242181453,-2.371801759
0.00024,4.192258597,8.499302014
0.00025,4.28802E-15,-0.321613345
0.00026,-4.192258597,-4.631574783
0.00027,-7.242181453,-12.49431112
0.00028,-8.436528108,-8.75718189
0.00029,-7.756463002,-12.87188512
0.0003,-5.877852523,-4.296961952
0.00031,-3.906544798,-9.876813774
0.00032,-2.949849846,-14.09847332
0.00033,-3.687996674,-6.815292871
0.00034,-6.109344263,-5.082003283
0.00035,-9.510565163,-6.176771326
0.00036,-12.76179877,-18.8055657
0.00037,-14.73554987,-8.40383492
0.00038,-14.73554987,-13.30140645
0.00039,-12.76179877,-21.64938381
0.0004,-9.510565163,-8.250798896
0.00041,-6.109344263,-8.979631035
0.00042,-3.687996674,-3.231445488
0.00043,-2.949849846,-2.472436528
0.00044,-3.906544798,4.046758814
0.00045,-5.877852523,-2.977035275
0.00046,-7.756463002,-6.495248465
0.00047,-8.436528108,-7.719028456
0.00048,-7.242181453,-3.408000803
0.00049,-4.192258597,-7.237121758
0.0005,-8.57604E-15,4.199701553
0.00051,4.192258597,3.034395792
0.00052,7.242181453,2.616255478
0.00053,8.436528108,13.69208576
0.00054,7.756463002,3.446110629
0.00055,5.877852523,13.09345983
0.00056,3.906544798,6.761050367
0.00057,2.949849846,8.192532479
0.00058,3.687996674,-0.579681367
0.00059,6.109344263,10.94398518
0.0006,9.510565163,9.954504303
0.00061,12.76179877,19.24518337
0.00062,14.73554987,19.3630081
0.00063,14.73554987,16.98545045
0.00064,12.76179877,14.93467534
0.00065,9.510565163,1.197343138
0.00066,6.109344263,2.363964891
0.00067,3.687996674,7.603772128
0.00068,2.949849846,6.991538628
0.00069,3.906544798,-0.758069129
0.0007,5.877852523,-0.949320646
0.00071,7.756463002,7.002701436
0.00072,8.436528108,0.659734041
0.00073,7.242181453,5.745583599
0.00074,4.192258597,4.831933558
0.00075,-4.89951E-15,7.08781108
0.00076,-4.192258597,-2.783317905
0.00077,-7.242181453,0.343491868
0.00078,-8.436528108,-10.10744685
0.00079,-7.756463002,-9.091969759
0.0008,-5.877852523,-6.129763083
0.00081,-3.906544798,-3.363545465
0.00082,-2.949849846,5.782518878
0.00083,-3.687996674,-8.783717964
0.00084,-6.109344263,3.388233565
0.00085,-9.510565163,-10.17969782
0.00086,-12.76179877,-11.55972974
0.00087,-14.73554987,-13.15514648
0.00088,-14.73554987,-15.84087315
0.00089,-12.76179877,-13.10866019
0.0009,-9.510565163,-13.93333064
0.00091,-6.109344263,-13.8787833
0.00092,-3.687996674,-10.20260805
0.00093,-2.949849846,-4.590092378
0.00094,-3.906544798,-6.051707584
0.00095,-5.877852523,-1.688693824
0.00096,-7.756463002,-13.46244018
0.00097,-8.436528108,-13.40597558
0.00098,-7.242181453,-8.241018963
0.00099,-4.192258597,-9.295553002
0.001,-1.71521E-14,-1.262341669
0.00101,4.192258597,5.312464325
